X,Y,Major,Minor,Rotation,EFT:n,EFT:Jaqqard
33,33,30,28,16,1,0.21121
33,33,30,24,93,1,0.261
33,33,30,15,107,1,0.52952
33,33,30,30,36,1,0.23681
33,33,30,25,93,1,0.23269
33,33,30,3,35,0,1
33,33,30,16,107,1,0.47487
33,33,30,28,76,1,0.2033
33,33,30,26,93,1,0.19799
33,33,30,4,35,0,1
33,33,30,17,107,1,0.47114
33,33,30,27,93,1,0.16599
33,33,30,5,35,1,0.70822
33,33,30,6,35,1,0.61176
33,33,30,29,16,1,0.21271
33,33,30,28,93,1,0.16253
33,33,30,18,107,1,0.4115
33,33,30,7,35,1,0.49379
33,33,30,8,35,1,0.46957
33,33,30,30,56,1,0.23681
33,33,30,9,35,1,0.45745
33,33,30,19,107,1,0.38752
33,33,30,3,55,0,1
33,33,30,29,93,1,0.23957
33,33,30,4,55,0,1
33,33,30,10,35,1,0.375
33,33,30,29,76,1,0.22132
33,33,30,5,55,1,0.66456
33,33,30,6,55,1,0.63203
33,33,30,11,35,1,0.35714
33,33,30,20,107,1,0.36795
33,33,30,7,55,1,0.50625
33,33,30,8,55,1,0.47761
33,33,30,12,35,1,0.33729
33,33,30,30,16,1,0.23681
33,33,30,9,55,1,0.48677
33,33,30,3,15,0,1
33,33,30,21,107,1,0.33579
33,33,30,13,35,1,0.35104
33,33,30,4,15,0,1
33,33,30,10,55,1,0.37949
33,33,30,5,15,0,1
33,33,30,6,15,0,1
33,33,30,14,35,1,0.32766
33,33,30,7,15,1,0.85758
33,33,30,8,15,1,0.81607
33,33,30,11,55,1,0.3701
33,33,30,15,35,1,0.28481
33,33,30,30,93,1,0.23681
33,33,30,12,55,1,0.36364
33,33,30,22,107,1,0.31851
33,33,30,3,92,0,1
33,33,30,9,15,1,0.691
33,33,30,4,92,0,1
33,33,30,16,35,1,0.23256
33,33,30,13,55,1,0.32407
33,33,30,5,92,0,1
33,33,30,10,15,1,0.69008
33,33,30,17,35,1,0.22394
33,33,30,6,92,0,1
33,33,30,23,107,1,0.27966
33,33,30,14,55,1,0.34025
33,33,30,7,92,0,1
33,33,30,11,15,1,0.65019
33,33,30,8,92,1,0.75862
33,33,30,18,35,1,0.223
33,33,30,15,55,1,0.28514
33,33,30,9,92,1,0.7689
33,33,30,12,15,1,0.61017
33,33,30,24,107,1,0.26426
33,33,30,10,92,1,0.74409
33,33,30,16,55,1,0.28571
33,33,30,19,35,1,0.19367
33,33,30,30,76,1,0.23681
33,33,30,17,55,1,0.28064
33,33,30,11,92,1,0.71397
33,33,30,3,75,0,1
33,33,30,25,107,1,0.22222
33,33,30,18,55,1,0.25524
33,33,30,12,92,1,0.66802
33,33,30,4,75,0,1
33,33,30,13,15,1,0.60536
33,33,30,19,55,1,0.24877
33,33,30,26,107,1,0.17101
33,33,30,5,75,0,1
33,33,30,13,92,1,0.63566
33,33,30,14,15,1,0.55866
33,33,30,6,75,0,1
33,33,30,14,92,1,0.58246
33,33,30,15,92,1,0.57951
33,33,30,20,35,1,0.23224
33,33,30,7,75,1,0.83827
33,33,30,15,15,1,0.50542
33,33,30,16,92,1,0.53469
33,33,30,20,55,1,0.21404
33,33,30,8,75,1,0.8425
33,33,30,17,92,1,0.49427
33,33,30,27,107,1,0.2156
33,33,30,16,15,1,0.50485
33,33,30,18,92,1,0.4652
33,33,30,9,75,1,0.71122
33,33,30,21,55,1,0.19667
33,33,30,19,92,1,0.50946
33,33,30,17,15,1,0.45634
33,33,30,21,35,1,0.20792
33,33,30,10,75,1,0.68599
33,33,30,22,55,1,0.19709
33,33,30,20,92,1,0.38776
33,33,30,18,15,1,0.42395
33,33,30,21,92,1,0.38392
33,33,30,28,107,1,0.18817
33,33,30,22,35,1,0.16774
33,33,30,11,75,1,0.63457
33,33,30,23,55,1,0.18038
33,33,30,19,15,1,0.37846
33,33,30,24,55,1,0.20064
33,33,30,25,55,1,0.18944
33,33,30,12,75,1,0.61311
33,33,30,26,55,1,0.17426
33,33,30,20,15,1,0.3738
33,33,30,22,92,1,0.32061
33,33,30,27,55,1,0.17421
33,33,30,13,75,1,0.6
33,33,30,21,15,1,0.32635
33,33,30,23,35,1,0.15161
33,33,30,22,15,1,0.29714
33,33,30,28,55,1,0.21359
33,33,30,14,75,1,0.56134
33,33,30,24,35,1,0.1967
33,33,30,29,107,1,0.21477
33,33,30,23,15,1,0.26586
33,33,30,25,35,1,0.22857
33,33,30,24,15,1,0.25598
33,33,30,15,75,1,0.51048
33,33,30,23,92,1,0.32471
33,33,30,26,35,1,0.17981
33,33,30,25,15,1,0.28986
33,33,30,26,15,1,0.20671
33,33,30,16,75,1,0.48621
33,33,30,29,55,1,0.20795
33,33,30,27,15,1,0.20699
33,33,30,27,35,1,0.20442
33,33,30,17,75,1,0.45215
33,33,30,28,15,1,0.21121
33,33,30,18,75,1,0.44182
33,33,30,28,35,1,0.24209
33,33,30,29,15,1,0.21299
33,33,30,19,75,1,0.37654
33,33,30,24,92,1,0.25904
33,33,30,30,55,1,0.23681
33,33,30,3,54,0,1
33,33,30,25,92,1,0.23269
33,33,30,30,107,1,0.23681
33,33,30,4,54,0,1
33,33,30,3,106,0,1
33,33,30,4,106,0,1
33,33,30,5,54,1,0.55137
33,33,30,5,106,0,1
33,33,30,20,75,1,0.38806
33,33,30,26,92,1,0.20029
33,33,30,6,106,0,1
33,33,30,7,106,0,1
33,33,30,6,54,1,0.53521
33,33,30,8,106,1,0.75758
33,33,30,27,92,1,0.16871
33,33,30,9,106,1,0.75793
33,33,30,7,54,1,0.49832
33,33,30,29,35,1,0.21184
33,33,30,10,106,1,0.6581
33,33,30,8,54,1,0.4491
33,33,30,11,106,1,0.67612
33,33,30,21,75,1,0.31201
33,33,30,12,106,1,0.61597
33,33,30,9,54,1,0.47594
33,33,30,28,92,1,0.19284
33,33,30,30,15,1,0.23681
33,33,30,13,106,1,0.5916
33,33,30,10,54,1,0.34973
33,33,30,3,14,0,1
33,33,30,14,106,1,0.54581
33,33,30,4,14,0,1
33,33,30,22,75,1,0.32666
33,33,30,5,14,1,0.86588
33,33,30,15,106,1,0.54874
33,33,30,6,14,0,1
33,33,30,11,54,1,0.35354
33,33,30,7,14,1,0.88095
33,33,30,16,106,1,0.49481
33,33,30,8,14,1,0.86383
33,33,30,23,75,1,0.28571
33,33,30,9,14,0,1
33,33,30,17,106,1,0.4704
33,33,30,10,14,1,0.69043
